        p           t         isp          cp         gam
   1.0000E+02  1.2911E+03  0.0000E+00  1.2087E+01  1.1768E+00
   5.7418E+01  1.2158E+03  9.0895E+02  1.3867E+01  1.1519E+00
   1.0000E-02  5.6609E+02  2.9298E+03  1.1962E+01  1.1269E+00
   8.7624E-03  5.5998E+02  2.9415E+03  1.1896E+01  1.1264E+00
   7.7974E-03  5.5466E+02  2.9517E+03  1.1834E+01  1.1260E+00
   7.0239E-03  5.4995E+02  2.9606E+03  1.1776E+01  1.1257E+00
   6.3900E-03  5.4572E+02  2.9686E+03  1.1721E+01  1.1253E+00 
