        p           t         isp          cp         gam
   3.0000E+02  1.3906E+03  0.0000E+00  1.0527E+01  1.1792E+00
   1.7112E+02  1.3008E+03  9.2867E+02  1.1444E+01  1.1709E+00
   6.3900E-03  5.1236E+02  3.0816E+03  8.7843E+00  1.1285E+00
   7.0251E-03  5.1659E+02  3.0748E+03  8.8830E+00  1.1286E+00
   7.8005E-03  5.2129E+02  3.0672E+03  8.9891E+00  1.1287E+00
   8.7682E-03  5.2660E+02  3.0585E+03  9.1039E+00  1.1289E+00
   1.0010E-02  5.3267E+02  3.0485E+03  9.2293E+00  1.1291E+00
