        p           t         isp          cp         gam
   4.0000E+02  1.4181E+03  0.0000E+00  1.0126E+01  1.1793E+00
   2.2811E+02  1.3253E+03  9.3262E+02  1.0992E+01  1.1714E+00
   6.3900E-03  5.0237E+02  3.1086E+03  7.9469E+00  1.1304E+00
   7.0251E-03  5.0663E+02  3.1021E+03  8.0548E+00  1.1304E+00
   7.8005E-03  5.1138E+02  3.0948E+03  8.1712E+00  1.1304E+00
   8.7682E-03  5.1672E+02  3.0865E+03  8.2976E+00  1.1304E+00
   1.0010E-02  5.2282E+02  3.0769E+03  8.4363E+00  1.1305E+00
